Data;Cheques sem fundo - (%) - Serasa - SERASA12_CHSF12;
2007.06;18,9715005905534;
2007.07;19,1038033221715;
2007.08;18,9531377322302;
2007.09;17,6963820433184;
2007.10;17,8410856231215;
2007.11;19,2173643872902;
2007.12;18,7420211798883;
2008.01;19,0068798286569;
2008.02;19,5299600989814;
2008.03;20,8328165199386;
2008.04;20,8817616582499;
2008.05;21,2354835953044;
2008.06;18,5249649477287;
2008.07;19,8797675504174;
2008.08;18,0488390696569;
2008.09;17,8981120002314;
2008.10;20,1270086189348;
2008.11;21,6074871890745;
2008.12;20,2185091791044;
2009.01;22,9228901337445;
2009.02;23,2453246083249;
2009.03;24,5703515609012;
2009.04;22,172112497466;
2009.05;25,1697357209804;
2009.06;20,2424379179461;
2009.07;22,128741059242;
2009.08;19,6263822034945;
2009.09;19,363210123715;
2009.10;19,2254670840688;
2009.11;20,3874758667235;
2009.12;18,6904924351303;
2010.01;18,4723638479873;
2010.02;18,5423544582552;
2010.03;20,4221433083246;
2010.04;18,6372175809818;
2010.05;18,6497763437154;
2010.06;17,4750535047837;
2010.07;17,407871433249;
2010.08;16,169957222599;
2010.09;15,9173888684993;
2010.10;15,6426519754168;
2010.11;16,826140551511;
2010.12;17,2122105511146;
2011.01;17,0311228952573;
2011.02;18,26916;
2011.03;21,28812;
2011.04;20,04138;
2011.05;20,02022;
2011.06;19,34635;
2011.07;19,91175;
2011.08;18,77385884;
2011.09;18,22681604;
2011.10;19,2123605488116;
2011.11;21,857471917268;
2011.12;19,9171539927251;
2012.01;19,3130809635306;
2012.02;20,0187857950257;
2012.03;21,8831627187917;
2012.04;20,8124937074863;
2012.05;21,9831100975018;
2012.06;20,1707897636082;
2012.07;19,9576339371791;
2012.08;19,6551671622243;
2012.09;18,6853295958877;
2012.10;19,3626621806708;
2012.11;19,6278592359201;
2012.12;20,4466014404268;
2013.01;20,1798352975064;
2013.02;18,9966578036608;
2013.03;23,5804121907148;
2013.04;20,8550341735006;
2013.05;21,5356789021654;
2013.06;19,4417711715883;
2013.07;20,2628197417264;
2013.08;18,7423756063563;
2013.09;18,1133803808126;
2013.10;19,621755803844;
2013.11;20,0430003479293;
2013.12;19,0903121218754;
2014.01;21,0882108038759;
2014.02;19,8517930842809;
2014.03;22,1147664549987;
2014.04;21,3367213717906;
2014.05;21,6686212730013;
2014.06;19,2136036081556;
2014.07;22,3630763588827;
2014.08;20,2160057922437;
2014.09;18,3592097318739;
2014.10;19,658786839086;
2014.11;19,3103526162923;
2014.12;19,4363650677019;
2015.01;20,6272850762914;
2015.02;21,9140379710527;
2015.03;23,2287209198518;
2015.04;22,5579743995812;
2015.05;22,9445070709932;
2015.06;21,235878944783;
2015.07;22,8819879962647;
2015.08;21,1121895391224;
2015.09;22,1172070077796;
2015.10;22,0089245720816;
2015.11;26,1116851312475;
2015.12;24,2220076466983;
2016.01;24,0852310693737;
2016.02;22,677432890056;
2016.03;26,584579072246;
2016.04;23,825805615761;
2016.05;23,8805832755578;
2016.06;23,5820637472193;
2016.07;22,5904752425312;
2016.08;21,7598152488838;
2016.09;21,8749694808376;
2016.10;25,1954453304303;
2016.11;24,6012736847092;
2016.12;22,4630875960235;
2017.01;21,1598772663481;
2017.02;21,1724735780594;
2017.03;23,4353918976418;
2017.04;21,42212492565;
2017.05;21,5099583884326;
2017.06;18,58348065182;
2017.07;19,3450949190752;
2017.08;18,1868845242401;
2017.09;17,7707404767921;
2017.10;17,9944723023421;
2017.11;19,34385002922;
2017.12;19,5638053325769;
2018.01;19,5823916221945;
2018.02;18,0389275837009;
2018.03;22,2313712574123;
2018.04;20,7194431471735;
2018.05;20,4489402018482;
2018.06;19,925722709499;
2018.07;18,307346867858;
2018.08;17,8;
2018.09;16,7;
